Dist Code,Year,State Code,State Name,Dist Name,JAN,FEB,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPT,OCT,NOV,DEC,ANNUAL
6,2012,14,Chhattisgarh,Surguja,38.3,13,0,17.3,1.8,125.3,342.2,304.3,194.3,21.3,58.2,6.5,1122.5
6,2013,14,Chhattisgarh,Surguja,0.7,55.5,14.4,40.5,1.3,52.2,242.7,237.2,47.7,116.8,0,0,809
6,2014,14,Chhattisgarh,Surguja,16.8,46,18.5,2.4,14.7,79.6,184.6,325.2,126.2,22.3,0,3.7,840
6,2015,14,Chhattisgarh,Surguja,6.6,3.1,26.5,74.1,1.8,82.1,392.6,263.4,97,42.4,0,0.2,989.8
7,2005,6,Madhya Pradesh,Jabalpur,71.7,4.5,28.2,3.2,5.8,92,919.3,318.3,348.9,11.8,0,2.5,1806.2
7,2006,6,Madhya Pradesh,Jabalpur,0,0,74.8,1.5,36.9,100.6,384,313,74.8,3,10,0.5,999.1
7,2007,6,Madhya Pradesh,Jabalpur,0,41.7,22.7,1.6,1.2,82.2,325.6,394.3,156.3,0,0,7.8,1033.4
7,2008,6,Madhya Pradesh,Jabalpur,0.1,3.9,0.8,0.4,6.8,407.9,339,302.5,115.2,24.5,0,0,1201.1
7,2009,6,Madhya Pradesh,Jabalpur,23.3,0,1.1,0.2,4.1,32.5,384.1,234.9,291.3,36.6,0,0,1008.1
7,2012,6,Madhya Pradesh,Jabalpur,41.6,0,0.8,0,0.3,137,533.7,436.6,121.9,7.9,0.6,3.3,1283.7
7,2013,6,Madhya Pradesh,Jabalpur,0,69.1,22.6,24.6,0,446.9,572.4,797.1,93.1,83.9,0,0,2109.7
7,2014,6,Madhya Pradesh,Jabalpur,27.4,64.3,20.8,1,4.8,108.7,326.4,222.2,158.2,25.8,0,9.2,968.8
7,2015,6,Madhya Pradesh,Jabalpur,59.6,15.3,98.2,23.8,1.2,115,350.4,276.1,80.8,23.5,0,0,1043.9
8,2005,6,Madhya Pradesh,Balaghat,91.5,17.2,3.3,0.6,37.2,227.6,553.1,473.1,440.2,94.1,0,0,1937.9
8,2006,6,Madhya Pradesh,Balaghat,0,0,80.7,38.2,29.6,64.4,494.4,676.6,149.5,6.7,8.6,0.4,1549.1
8,2007,6,Madhya Pradesh,Balaghat,0,24.2,19.9,19,2.8,218.2,403.3,220.9,268.5,11.9,68.4,0,1257.1
8,2008,6,Madhya Pradesh,Balaghat,0,17.8,49.3,1.2,0.4,289.1,302.5,485,169.7,8.5,1.9,0,1325.4
8,2009,6,Madhya Pradesh,Balaghat,0,0,2.5,4,10.1,30.3,568.4,260.7,112,22.6,0,0,1010.6
8,2012,6,Madhya Pradesh,Balaghat,34.5,1.2,0,0.3,0,89.9,435.2,306.6,266.6,22.2,14.1,3,1173.6
8,2013,6,Madhya Pradesh,Balaghat,8.1,15.4,2.6,19.9,1.2,179.4,511.1,428.3,160.1,102.7,0,0,1428.8
8,2014,6,Madhya Pradesh,Balaghat,4.3,36.8,24.5,7.1,2.8,123.2,452.7,238.5,123.3,45.3,0,17.5,1076
8,2015,6,Madhya Pradesh,Balaghat,6,7.2,70,20.9,2.7,226.1,204.4,322.3,136.1,7,0,2,1004.7
9,2005,6,Madhya Pradesh,Chhindwara,30,0,39.4,2.4,3.6,191.9,458.5,168.9,271.4,45.9,0,0,1212
9,2006,6,Madhya Pradesh,Chhindwara,0,0,133.6,0,2,33.4,372.2,425.5,106.1,2.8,17.9,0,1093.5
9,2007,6,Madhya Pradesh,Chhindwara,0,0,0,3.1,9.7,132.1,334,168.5,262,0,18.1,0,927.5
9,2008,6,Madhya Pradesh,Chhindwara,0,12.8,27.4,8.8,0.8,110.6,127.8,165.7,194.8,19.3,0,0,668
9,2009,6,Madhya Pradesh,Chhindwara,0,0,0,0,0,45.8,725.2,91,247.4,52.9,0,0,1162.3
9,2012,6,Madhya Pradesh,Chhindwara,68.3,0,0,0,0.7,122.1,292,327,248.3,20.3,0,0,1078.7
9,2013,6,Madhya Pradesh,Chhindwara,3.1,25.2,0,3.5,0,291.9,406,403.9,113.6,160.8,0,0,1408
